folder,taxo59_match,confidence,consistent,food_seen,caveat,note
quesadilla,none,high,True,"케사디야(또띠야를 반으로 접어 구운 멕시코 음식, 치즈·닭고기 속, 살사·과카몰리·사워크림 곁들임)",멕시코 cuisine. 접은 또띠야 형태지만 taxo59에 또띠야/멕시코 클래스 없음. pizza(오픈 치즈 토핑 아님)·sandwich(식빵 슬라이스 아님)·savory-pancake(한식 전 반죽과 다름)와 모두 시각·의미 불일치.,"전부 멕시코식 케사디야로 일관되며, 시각·의미가 맞는 한식 클래스가 없어 none."
ramen,japanese-ramen,high,True,"일본 라멘 (차슈, 반숙 조미란, 나루토 어묵, 김, 숙주, 파; 미소·쇼유·돈코츠 국물)",타코츠/쇼유/미소/매운라멘 등 국물 색이 다양하지만 모두 정통 일본 라멘. 한국 인스턴트 라면(korean-ramyeon-red)이나 냉라멘(cold-ramen)과 혼동하지 말 것 — 본 폴더는 전부 생면 일본식 라멘.,10장 모두 차슈·조미란·나루토·라멘(ラーメン) 간판 등 정통 일본 라멘 특징이 일관되게 보여 japanese-ramen에 high로 매핑.
ratatouille,none,high,True,"라따뚜이 (호박·가지·토마토·파프리카를 슬라이스/스튜한 프랑스 채소 요리, 바질 가니시)",프랑스 채소 요리로 taxo59 59클래스에 대응 음식 없음(과제에서 명시적으로 none 지정). 일부 프레임은 스튜/수프형(0656)이거나 새우가 추가됨(0984)되어 western-cream-soup 등과 혼동 소지 있으나 크림수프가 아니므로 매핑 불가.,10장 모두 호박·가지·토마토·파프리카 기반 라따뚜이로 일관. 대응 클래스가 없어 none(보강 부적합).
rice_noodle,rice-noodle-soup,high,True,쌀국수(베트남 쌀국수/포),,"10장 모두 얇은 흰 쌀국수에 맑은/육수 국물, 소고기·닭·새우·숙주·고수로 일관 — taxo59 rice-noodle-soup(쌀국수)와 시각·의미 정확히 일치."
risotto,none,high,True,리조또(이탈리아식 크림 쌀요리),양식 리조또는 taxo59에 없는 음식. 크리미한 쌀요리라 볶음밥(fried-rice)·덮밥(rice-bowl)과 시각·조리법 모두 다름.,"10장 모두 크리미한 이탈리아 리조또(토마토·사프란·버섯·호박·해물·새우 변형)로 일관되나, 매핑 가능한 taxo59 클래스 없음 → none."
salad,salad,high,True,"샐러드(잎채소 샐러드, 콥샐러드, 게맛살·치즈 샐러드, 닭가슴살 샐러드 볼, 과일 샐러드 등)","양식/카페 스타일 샐러드 위주로 cuisine 차이는 없으나, 1장(과일+리코타+크래커)은 디저트성 과일 플레이트에 가까움","10장 모두 다양한 샐러드로 일관, taxo59 salad 클래스와 시각·의미 동일하여 학습 보강용으로 적합"
sandwich,sandwich,high,True,"샌드위치(크루아상·식빵·치아바타·파니니·서브 샌드위치, 토마토·계란·새우·돈가스·아보카도 속재료)",,"10장 모두 빵 사이에 속재료를 넣은 샌드위치로 일관, taxo59 sandwich 클래스와 정확히 일치하여 학습 보강용으로 적합"
sashimi,raw-fish,medium,False,"회·생선회(흰살생선·연어·모듬회)가 다수, 일부 육회 섞임","10장 중 2장(0368,0460)은 생선회가 아니라 육회(소고기 타르타르+계란노른자)로 다른 음식. 나머지 8장은 흰살생선/연어/모듬 생선회로 raw-fish에 부합. 학습 보강에 쓰려면 육회 이미지는 제외 필요.",대부분 생선회(raw-fish)지만 육회 2장이 섞여 폴더가 단일 음식으로 일관되지 않음.
schweinshaxe,none,high,True,독일식 슈바인스학세(껍질 바삭한 통 돼지정강이 구이),"같은 돼지 부위(정강이/족)지만 한식 간장 양념 삶은·썰어낸 족발(braised-pork-hock)과 cuisine·조리·플레이팅이 전혀 다름(독일식 로스트/크리스피 스킨, 감자·사우어크라우트·파스타·그릴채소 곁들임). 족발 클래스 보강용으로 부적합.",10장 모두 독일식 통 돼지정강이 구이로 일관되나 taxo59 한식 클래스와 의미·시각 불일치 → none.
seaweed_soup,korean-clear-soup,medium,True,"미역국 (한국식 미역 맑은국, 일부 소고기·계란·홍합 포함)","미역국은 대표적 맑은국이라 의미상 맞으나, korean-clear-soup가 미역국 외 다양한 맑은국을 포괄하는 광범위 클래스라 미역 특유의 짙은 녹색 외형이 다른 맑은국과 구별될 수 있음. 보강용으로는 적합.","10장 모두 미역국으로 일관, 맑은 국물의 한식 미역국 → korean-clear-soup에 보강용으로 매핑 가능"
serial,none,high,True,시리얼(아침식사용 콘플레이크·후룻링·초코링·뮤즐리/그래놀라+우유·요거트),59클래스에 아침식사용 시리얼에 해당하는 음식이 전혀 없음(죽·국밥 등과 시각·의미 모두 무관). 억지 매핑 불가.,10장 모두 우유에 만 시리얼류로 일관되나 taxo59에 대응 클래스 없음 → none
soba,none,high,True,소바(메밀국수) - 온소바·자루소바·마제소바 혼재,일본 메밀국수(소바)로 taxo59에 해당 클래스 없음. cold-noodles(냉면)·noodle-plain(잔치국수/밀면)·udon(굵은 흰 우동면)과는 면·국물·플레이팅이 모두 달라 시각+의미 불일치. 억지 매핑 금지.,10장 모두 갈색 메밀면. 따뜻한 가케/차가운 자루/마제소바 형태 차이는 있으나 동일 소바류로 일관.
somtam,none,high,True,쏨땀(태국식 그린파파야 샐러드),"태국 요리. taxo59 salad(샐러드)는 양식 샐러드를 의미하며, 채썬 그린파파야+토마토+땅콩+고추+피쉬소스 드레싱의 매운 쏨땀과는 cuisine·비주얼이 명확히 다름. 한식/양식 어디에도 부적합.",10장 모두 채썬 청파파야 샐러드로 일관. 접시/매운정도 차이만 있음.
soup,western-cream-soup,high,True,"양식 크림/퓨레 수프 (토마토 가스파초, 브로콜리 크림수프, 옥수수 차우더, 토마토 비스크, 감자 차우더, 양송이 크림수프, 완두콩 수프 등)",전부 양식 걸쭉한 크림/퓨레 수프로 한식 맑은국/빨간국과는 무관. western-cream-soup에만 적합.,10장 모두 양식 크림/퓨레 계열 수프로 일관 → western-cream-soup 학습 보강 적합.
steak,none,high,True,"양식 스테이크 (립아이·등심·안심/필레미뇽, 그릴·소스·가니쉬 곁들임), 일부 스테이크 정식",두툼한 양식 스테이크(나이프·포크 플레이팅)는 한식 grilled-beef(얇게 썬 등심·소고기구이)와 cuisine·시각이 다름. 양식 스테이크 전용 클래스가 taxo59에 없어 none.,10장 모두 양식 스테이크로 일관되나 매칭 가능한 한식/일관 클래스 없음 → none.
sushi,sushi,high,True,니기리 초밥(흰살생선·참치/도로·연어·연어알 군함·새우·문어 등 단품 초밥),,10장 모두 손으로 쥔 니기리 초밥으로 taxo59 sushi(초밥)와 시각·의미 모두 정확히 일치
taco,none,high,False,멕시칸 타코(소프트/하드쉘·케사비리아·새우타코)와 일부 부리토,멕시칸 cuisine. taxo59에 타코/부리토 클래스 없음. 김밥·만두·샌드위치 등에 억지 매핑하면 cuisine·형태가 전혀 다름,대부분 타코지만 부리토(랩) 2장 혼재. 어느 쪽이든 taxo59에 대응 클래스가 없어 none
takoyaki,takoyaki,high,True,타코야키 (가츠오부시·소스·마요 토핑의 문어빵 볼),,전 이미지가 둥근 타코야키 볼 + 가츠오부시/소스/마요로 taxo59 takoyaki와 시각·의미 일치
tiramisu,none,high,True,티라미수 (코코아 가루 뿌린 마스카포네·레이디핑거 층 디저트),티라미수는 taxo59에 없는 음식(지침의 none 예시에 명시). cake와는 형태·의미가 다른 별개 디저트라 매핑 부적합,전 이미지가 일관된 티라미수이나 taxo59 59클래스에 해당 클래스 없음 → none
tortilla,none,high,False,또띠야 플랫브레드·랩·타코·부리또·케사디아·슈와르마 랩(감자튀김 곁들임),"멕시칸/중동 cuisine. 또띠야·타코·부리또·랩은 taxo59 어떤 한식·일식·양식 클래스와도 시각·의미가 맞지 않음. sandwich로 억지 매핑 불가(맨 또띠야 장만 있는 컷 다수, 시각·구성 상이).",또띠야 계열로 폴더는 일관되나 우리 59클래스에 해당 음식 없음 → none. (10장 중 plain 또띠야/랩/타코/부리또/케사디아 혼재)
tteokbokki,tteokbokki-red,high,False,"떡볶이(빨간 고추장 양념 가래떡, 어묵·계란 포함)","대부분 빨간 떡볶이로 tteokbokki-red 명확. 단 1장(0562)은 새우·브로콜리 든 맑은 국물 요리로 보여 오라벨 의심, 1장(0373)은 로제/크림빛으로 tteokbokki-cream-rose에 더 가까움. 학습 보강 시 이 2장 정도는 제외 권장.","10장 중 8장이 전형적 빨간 떡볶이로 일관, tteokbokki-red 보강용 적합. 소수 이상치(맑은국물 1·로제빛 1) 필터링 필요."
udon,udon,high,False,"우동(일본식 굵은 면 국물우동, 유부·어묵·튀김 토핑)",10장 중 1장(udon_0652)은 국물우동이 아니라 채소·고기 볶음면(야끼우동/볶음국수)으로 보여 결이 다름,9장은 전형적 일본식 국물우동으로 udon 클래스와 시각·의미 모두 명확히 일치. 1장은 볶음면 outlier라 학습 보강 시 해당 컷 제외 권장
waffle,none,high,True,"와플(벨기에식 와플; 생크림·베리, 치킨앤와플, 아이스크림·초코 등 다양한 토핑)",taxo59에 waffle 클래스 없음. bread(빵)·cake(케이크)와 시각·의미가 명확히 구분되는 별개 디저트라 억지 매핑 부적합,10장 모두 와플로 일관되나 대응 클래스가 없어 none. 빵/케이크로 끼워 넣으면 클래스 혼선 위험
